Ticker,Book Value,Close
LOTUSEYE.NS,26.198,31.95
LOVABLE.NS,113.124,97.7
LPDC.NS,2.525,1.7
LT.NS,515.177,1289.4
LUMAXIND.NS,445.297,1397.7
LUMAXTECH.NS,68.363,123.8
LUPIN.NS,280.835,983.75
LUXIND.NS,226.317,1666.45
LYKALABS.NS,-8.695,25.6
LYPSAGEMS.NS,43.404,4.6
MAANALU.NS,81.502,94.6
MADHAV.NS,145.233,38.3
MADHUCON.NS,81.261,5.7
MADRASFERT.NS,-40.257,19.9
MAGMA.NS,105.012,42.6
MAGNUM.NS,-11.132,4.65
MAHABANK.NS,19.461,13.3
MAHINDCIE.NS,122.467,169.2
MAHLIFE.NS,325.341,358.3
MAHSCOOTER.NS,9668.146,3848.6
MAHSEAMLES.NS,493.04,335.2
MAITHANALL.NS,473.794,561.35
MAJESCO.NS,1080.58,13.4
MALUPAPER.NS,14.647,29.65
MANAKALUCO.NS,17.04,8.6
MANAKCOAT.NS,14.094,6.95
MANAKSIA.NS,150.8,58.45
MANAKSTEEL.NS,29.172,21.25
MANALIPETC.NS,28.703,36.8
MANAPPURAM.NS,76.347,167.4
MANGALAM.NS,77.439,139.75
MANGCHEFER.NS,50.354,41.7
MANGLMCEM.NS,227.874,223.95
MANGTIMBER.NS,-33.697,9.05
MANINDS.NS,138.198,83.8
MANINFRA.NS,27.839,34.8
MANPASAND.NS,39.998,5.85
MANUGRAPH.NS,50.1,11.6
MARALOVER.NS,17.817,25.1
MARICO.NS,28.537,406.8
MARKSANS.NS,17.612,58.25
MARUTI.NS,1620.705,7483.0
MASTEK.NS,398.35,1158.9
MAWANASUG.NS,67.395,33.65
MAYURUNIQ.NS,131.115,294.3
MBECL.NS,0.37,5.5
MBLINFRA.NS,72.226,20.0
MCDHOLDING.NS,310.175,33.9
MCDOWELL-N.NS,50.845,579.85
MCLEODRUSS.NS,183.537,21.35
MCX.NS,344.923,1744.3
MEGASOFT.NS,31.71,9.2
MEGH.NS,52.252,81.55
MELSTAR.NS,-1.088,2.3
